Stock,Model,Window,Seed,MAE,MSE,RMSE,MAPE,R2,Epochs Run,Test Points
Maruti,LSTM,30,17,283.58036593643527,131569.45692390803,362.72504314412595,2.652071397114675,0.9425883441114877,60,587
Maruti,LSTM,30,18,739.3137186235626,940900.5787136368,970.0002983059525,6.5919105754384315,0.5894285686559417,14,587
Maruti,BiLSTM,30,16,248.35903727906728,114959.21889664976,339.05636536813427,2.301521630662927,0.9498363885447695,30,587
Maruti,BiLSTM,30,17,1213.9194219482006,2394109.9784634355,1547.291174428212,10.825525810767846,-0.04469396968240913,100,587
Maruti,BiLSTM,30,18,432.8183127928024,298859.24643212487,546.6802049023953,3.955945316992803,0.869589761815431,39,587
Sun Pharma,LSTM,1,16,77.34728825556768,13170.491839056072,114.76276329479032,5.067431580375645,0.8795844815588316,65,616
Sun Pharma,LSTM,1,17,148.19591215059356,47350.56733920101,217.60185509135948,9.671703074987184,0.5670819902317339,43,616
Sun Pharma,LSTM,1,18,121.60116478065392,32193.19246081599,179.42461498026404,7.913990436874944,0.7056632350699437,27,616
Sun Pharma,BiLSTM,1,16,69.33230580912007,10944.404725085442,104.61550900839435,4.511268053243062,0.899937209247336,40,616
Sun Pharma,BiLSTM,1,17,62.34018954983005,7419.038786495951,86.13384228336706,4.251129317835006,0.9321690174726934,12,616
Sun Pharma,BiLSTM,1,18,76.48709195620054,13218.137163734662,114.97015770944503,4.971300346219948,0.8791488686339249,37,616
Sun Pharma,LSTM,2,16,76.2461952767721,13215.676459171018,114.95945571883601,4.968383113599295,0.8790115468378485,35,615
Sun Pharma,LSTM,2,17,30.869448281885163,1622.379322847736,40.278770125808656,2.321025920927801,0.9851472480186672,12,615
Sun Pharma,LSTM,2,18,158.56907224577617,55072.726018413065,234.67578916115966,10.263622476081213,0.4958136306547616,61,615
Sun Pharma,BiLSTM,2,16,29.336941354643038,1829.847916481705,42.77672166589797,2.060356703838695,0.9832478897602345,15,615
Sun Pharma,BiLSTM,2,17,66.8884872808689,9774.706215870792,98.86711392506,4.423444398029981,0.910513352167305,22,615
Sun Pharma,BiLSTM,2,18,98.27860901375126,21244.384695610093,145.75453576342005,6.401989847654541,0.8055093698272348,56,615
Sun Pharma,LSTM,3,16,67.19771334868689,10342.10370135112,101.6961341514569,4.3984006337949175,0.9051923325593562,17,614
Sun Pharma,LSTM,3,17,169.03974621303695,64002.928294124584,252.98800029670298,10.88268678737617,0.4132752372088475,74,614
Sun Pharma,LSTM,3,18,128.89421861878435,36450.905813436984,190.92120315312542,8.368334164821553,0.6658488972781151,30,614
Sun Pharma,BiLSTM,3,16,104.21096364372328,23193.750792592746,152.294946707344,6.8232117594457815,0.7873792919367048,38,614
Sun Pharma,BiLSTM,3,17,93.08525945309319,20164.546507254698,142.00192430828076,5.989296208226339,0.8151484770838797,27,614
Sun Pharma,BiLSTM,3,18,100.24917185034737,23115.134537785863,152.03662235720006,6.449637633035627,0.7880999793283991,56,614
Sun Pharma,LSTM,5,16,120.26096528495839,29932.078945620346,173.0088984579127,7.933283910733886,0.7249126547390647,21,612
Sun Pharma,LSTM,5,17,136.36392630782782,40379.661704461665,200.94691265222679,8.854358540341007,0.6288953413160657,34,612
Sun Pharma,LSTM,5,18,153.30932397780074,49669.528117048016,222.86661507962114,10.01191192632882,0.5435178874509365,27,612
Sun Pharma,BiLSTM,5,16,160.9246357437832,52871.9972518994,229.9391164023629,10.564655953278844,0.5140859614498441,73,612
Sun Pharma,BiLSTM,5,17,159.79702170378243,55079.95462150071,234.6911899102749,10.353731786722829,0.49379398198672664,54,612
Sun Pharma,BiLSTM,5,18,105.27000876034008,25038.37542206536,158.23519021401452,6.781835054400707,0.7698876767959875,49,612
Sun Pharma,LSTM,10,16,112.66430593675993,23590.396623085093,153.5916554474399,7.582598039258704,0.7820158677328217,37,607
